Title,Authors,Link,Bookshelf
Tarzan of the Apes,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/78,"Movie Books, Adventure"
Terminal Compromise,Schwartau, Winn, 1952-,http://www.gutenberg.org/ebooks/79,
The Online World,De Presno, Odd, 1944-,http://www.gutenberg.org/ebooks/80,
The Return of Tarzan,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/81,
Ivanhoe: A Romance,Scott, Walter, 1771-1832,http://www.gutenberg.org/ebooks/82,"Best Books Ever Listings, Historical Fiction"
"From the Earth to the Moon, and, Round the Moon",Verne, Jules, 1828-1905,http://www.gutenberg.org/ebooks/83,"Movie Books, Science Fiction"
"Frankenstein, Or, The Modern Prometheus",Shelley, Mary Wollstonecraft, 1797-1851,http://www.gutenberg.org/ebooks/84,"Precursors of Science Fiction, Gothic Fiction, Movie Books, Science Fiction by Women"
The Beasts of Tarzan,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/85,"Movie Books, Adventure"
A Connecticut Yankee in King Arthur's Court,Twain, Mark, 1835-1910,http://www.gutenberg.org/ebooks/86,"Precursors of Science Fiction, Arthurian Legends"
The 1993 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/87,CIA World Factbooks
"Price/Cost Indexes from 1875 to 1989, Estimated to 2010",Hart, Michael, 1947-2011,http://www.gutenberg.org/ebooks/88,
North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions,Canada,http://www.gutenberg.org/ebooks/89,
The Son of Tarzan,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/90,"Adventure, Movie Books, Contemporary Reviews"
Tom Sawyer Abroad,Twain, Mark, 1835-1910,http://www.gutenberg.org/ebooks/91,
Tarzan and the Jewels of Opar,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/92,"Movie Books, Adventure"
